id,plataforma,texto,fecha,me_gusta,me_encanta,me_divierte,me_asombra,me_entristece,me_enoja,comentarios_count,compartidos,views,url,cuenta,texto_limpio,cluster
pfbid0T2d5ypiGGbCtYnyox14wnpnF4ENvo1nMVoNoSjCcmGjGMaR3CLAueeTGRZ37784tl,facebook,"Ya puedes realizar tus denuncias sobre vehículos abandonados que actualmente obstaculizan el libre paso en nuestras calles, avenidas, parqueos y predios.

Ingresa al siguiente enlace para realizar el reporte de manera directa y anónima: ⬇️

https://survey123.arcgis.com/share/f6da3b0826cd4ddd9d27ff3346e1702b

Seguimos trabajando juntos por un municipio limpio, ordenado y seguro. 👷🏻‍♂️💯

#SantaAnaCentro #GustavoAcevedo #ElSalvador",,0,0,0,0,0,0,0,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid0T2d5ypiGGbCtYnyox14wnpnF4ENvo1nMVoNoSjCcmGjGMaR3CLAueeTGRZ37784tl,,puedes realizar tus denuncias vehículos abandonados actualmente obstaculizan libre paso nuestras calles avenidas parqueos predios ingresa siguiente enlace realizar reporte manera directa anónima seguimos trabajando juntos municipio limpio ordenado seguro santaanacentro gustavoacevedo elsalvador,1
pfbid035YCvXZmDmE3mBTjqjzGk8VoZhZKFfMmpH2eqWcKhbBucgEY1GBRAEWJXuW2uUkngl,facebook,Pavimenten y les creo,2026-05-29 15:58:38.252000,0,0,0,0,0,0,0,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid035YCvXZmDmE3mBTjqjzGk8VoZhZKFfMmpH2eqWcKhbBucgEY1GBRAEWJXuW2uUkngl?comment_id=1375391644505643&__cft__[0]=AZZu0UBpWr_5EXsRkRzLI1EYaCqpfbjx1e6rREU-8EK2c2ppEOzUcj_UV-LuwVBnZeU0-cN8b0pqGzqTn3X6OS7yqeZLBuIhxHj9RJUV817mrqzEXs8lQSGwgroUNMeXSdjZY3C6vfAIevgncEZHj8KfuvpKQllm6DeMnq5On8djG8w9admZe2vU5zBR_M6IN3o&__tn__=R-R,,pavimenten les creo,4
pfbid0T2d5ypiGGbCtYnyox14wnpnF4ENvo1nMVoNoSjCcmGjGMaR3CLAueeTGRZ37784tl_1,facebook,"Ya puedes realizar tus denuncias sobre vehículos abandonados que actualmente obstaculizan el libre paso en nuestras calles, avenidas, parqueos y predios.

Ingresa al siguiente enlace para realizar el reporte de manera directa y anónima: ⬇️

https://survey123.arcgis.com/share/f6da3b0826cd4ddd9d27ff3346e1702b

Seguimos trabajando juntos por un municipio limpio, ordenado y seguro. 👷🏻‍♂️💯

#SantaAnaCentro #GustavoAcevedo #ElSalvador",,2300,232,0,0,0,0,4,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid0T2d5ypiGGbCtYnyox14wnpnF4ENvo1nMVoNoSjCcmGjGMaR3CLAueeTGRZ37784tl,,puedes realizar tus denuncias vehículos abandonados actualmente obstaculizan libre paso nuestras calles avenidas parqueos predios ingresa siguiente enlace realizar reporte manera directa anónima seguimos trabajando juntos municipio limpio ordenado seguro santaanacentro gustavoacevedo elsalvador,1
pfbid035YCvXZmDmE3mBTjqjzGk8VoZhZKFfMmpH2eqWcKhbBucgEY1GBRAEWJXuW2uUkngl_2,facebook,Pavimenten y les creo,2026-05-29 15:58:43.194000,4,1,0,0,0,0,0,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid035YCvXZmDmE3mBTjqjzGk8VoZhZKFfMmpH2eqWcKhbBucgEY1GBRAEWJXuW2uUkngl?comment_id=1375391644505643&__cft__[0]=AZZu0UBpWr_5EXsRkRzLI1EYaCqpfbjx1e6rREU-8EK2c2ppEOzUcj_UV-LuwVBnZeU0-cN8b0pqGzqTn3X6OS7yqeZLBuIhxHj9RJUV817mrqzEXs8lQSGwgroUNMeXSdjZY3C6vfAIevgncEZHj8KfuvpKQllm6DeMnq5On8djG8w9admZe2vU5zBR_M6IN3o&__tn__=R-R,,pavimenten les creo,4
pfbid029q6ZyS4f7CZssFZpV5JpF8PXNPuUgLNMmN8hP4GUWjabZDUp44McrHdhEFEFFV4ql,facebook,Es en la aldea san Antonio callejón clesa,,8300,1900,0,0,0,0,5,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid029q6ZyS4f7CZssFZpV5JpF8PXNPuUgLNMmN8hP4GUWjabZDUp44McrHdhEFEFFV4ql?comment_id=3636888106449663&__cft__[0]=AZYFwGSPIwPl9JzF2hL0oSoK49KerbOKI0fH1cdo41rEelWCOts3BZ8lFiAxhLRmS0WJVUbxIkbYueed6q71Cogp-qENGro4l8mvdXsylY1N4FzdJ8D9ykPie2tTvNZFidvghiKImVuA19BKHiomKigoQayST3vTcgKmzU918EiZ2PKO_CmPRia_d8yoOQv5DNs&__tn__=R-R,,aldea san antonio callejón clesa,4
pfbid029q6ZyS4f7CZssFZpV5JpF8PXNPuUgLNMmN8hP4GUWjabZDUp44McrHdhEFEFFV4ql_3,facebook,Es en la aldea san Antonio callejón clesa,,3600,2,5400,0,0,0,5,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid029q6ZyS4f7CZssFZpV5JpF8PXNPuUgLNMmN8hP4GUWjabZDUp44McrHdhEFEFFV4ql?comment_id=3636888106449663&__cft__[0]=AZYFwGSPIwPl9JzF2hL0oSoK49KerbOKI0fH1cdo41rEelWCOts3BZ8lFiAxhLRmS0WJVUbxIkbYueed6q71Cogp-qENGro4l8mvdXsylY1N4FzdJ8D9ykPie2tTvNZFidvghiKImVuA19BKHiomKigoQayST3vTcgKmzU918EiZ2PKO_CmPRia_d8yoOQv5DNs&__tn__=R-R,,aldea san antonio callejón clesa,4
pfbid0JCKRF7FVHaA6cmTph2ehLfk1Lgbb4Tj9HAkJ7Jv15HiYX8Lizj1Y9wtCNJxkHavYl_4,facebook,Que bien me gustaría ser parte,,200,15,200,0,0,0,7,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid0JCKRF7FVHaA6cmTph2ehLfk1Lgbb4Tj9HAkJ7Jv15HiYX8Lizj1Y9wtCNJxkHavYl?comment_id=1520479902994926&__cft__[0]=AZa4n3EvGRBFhOv0zhOUC9U8PY0D_b9gwu8HMkyd1mHabZNel18jn9p4UwTPAJB5RPqPJGbHErKsLrUxvJXApC_KCto5TQjKsHF3_9Zl-IUNTOC51iMHvHXCNSAGE_28M1lW16Z5gDo3Rk5kXLIqIb2k7dK7UDtIIMvBMXB_LDay_4ZD28Iwr1USv5dkTGYW9HE&__tn__=R-R,,gustaría parte,4
pfbid0LgoXG18DgKfyGGDNB6iYJxJPdi7nVeEDhPqNsWstHj7GiHhWmmzxpyZj8xZg3LxJl,facebook,"Vanessa Martinez
Gracias 
6 h
Me gusta
Responder",,6500,3000,0,0,7,0,6,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid0LgoXG18DgKfyGGDNB6iYJxJPdi7nVeEDhPqNsWstHj7GiHhWmmzxpyZj8xZg3LxJl?comment_id=27507369275527819&__cft__[0]=AZYCA6uwBQWzMVxLMLkXn4nH-6u74KQbCjxuaFYzBVH62XtdYmSzgcBncOqz5yBgRNL3k6UmlfqoymJAwFfLOyTmwy4YMRoTrjP2oBFbFgMMAF9FVYps-mSWB3SJ_e4V5muIYNSudBfrX7SXb2PyuUtaNVFcLa-rYgjinjL5H5Qnep-XV_0Anea_Zls2yXHtFWE&__tn__=R-R,,vanessa martinez gracias gusta responder,8
pfbid035uaEhW77wd8ueAU5YPqyzgVeA2CK7urwj7amdXbiASyYYxBp51oqEuH62dMDQa8l_2,facebook,Cuando van a volver a inscribir a cursos vocacionales??,,8300,1900,0,0,0,0,23,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid035uaEhW77wd8ueAU5YPqyzgVeA2CK7urwj7amdXbiASyYYxBp51oqEuH62dMDQa8l?comment_id=1483237163016045&__cft__[0]=AZZBUKsdYSi_OguY1AUTTbCncXcpKBTqUn8_0C2mRUw_NBg8bT-Bs38N2OzYYqFcTR6QO0RBtHuxTGiYHnhalqAMIxbPBVs61wZeY_CsBEZFMQ-UwT6_Tu5S7WVNKUMvsFkS3gwz-5DlAx_dyz1fPMprNRikT9-6OswMxqxiQVBcYB1-6o9HGfgFzzNoCQIVwgo&__tn__=R-R,,van volver inscribir cursos vocacionales,4
pfbid02hSWtVpZ6aLTMxaoUQFFndsosvjKLVGfEQFkn7sKSdPJfML1siEi1va2wPHpnd8qDl_3,facebook,"Ede Gonzaleth
1 día
Me gusta
Responder",2026-05-28 16:56:03.222000,7900,5500,0,0,0,0,21,0,0,https://www.facebook.com/SantaAnaAlcaldia/posts/pfbid02hSWtVpZ6aLTMxaoUQFFndsosvjKLVGfEQFkn7sKSdPJfML1siEi1va2wPHpnd8qDl?comment_id=964447409813178&__cft__[0]=AZaWTPl8w44Vbg-dJ33OF4bQPYuE5KQVGFhhSiLbpO50JkcY0Ij6HMoBTQWjcMv9v7qFub5HQN90EXkeRmkeWDV2-YmkB52lENNcTrrzwTtceLbldkzqBbH66hnWyR2yUTDNGd7da2BJrTWqRBHUQlpMMQO7gRRxR4EvJ6lDBpe6GUbzxoevaC0XZocYZWq4dJY&__tn__=R-R,,ede gonzaleth día gusta responder,8
