id,plataforma,engagement_total,engagement_rate,indice_afecto_positivo,indice_controversia,indice_humor,indice_viralidad,score_emocional_neto,score_sentimiento,categoria
pfbid0T2d5ypiGGbCtYnyox14wnpnF4ENvo1nMVoNoSjCcmGjGMaR3CLAueeTGRZ37784tl,facebook,0,0.0,0.0,0.0,0.0,0.0,,,Tema 2
pfbid035YCvXZmDmE3mBTjqjzGk8VoZhZKFfMmpH2eqWcKhbBucgEY1GBRAEWJXuW2uUkngl,facebook,0,0.0,0.0,0.0,0.0,0.0,,,Tema 5
pfbid0T2d5ypiGGbCtYnyox14wnpnF4ENvo1nMVoNoSjCcmGjGMaR3CLAueeTGRZ37784tl_1,facebook,2532,0.0,0.0916,0.0,0.0,0.0,,,Tema 2
pfbid035YCvXZmDmE3mBTjqjzGk8VoZhZKFfMmpH2eqWcKhbBucgEY1GBRAEWJXuW2uUkngl_2,facebook,5,0.0,0.0,0.0,0.0,0.0,,,Tema 5
pfbid029q6ZyS4f7CZssFZpV5JpF8PXNPuUgLNMmN8hP4GUWjabZDUp44McrHdhEFEFFV4ql,facebook,10200,0.0,0.1863,0.0,0.0,0.0,,,Tema 5
pfbid029q6ZyS4f7CZssFZpV5JpF8PXNPuUgLNMmN8hP4GUWjabZDUp44McrHdhEFEFFV4ql_3,facebook,9002,0.0,0.0002,0.0,0.5999,0.0,,,Tema 5
pfbid0JCKRF7FVHaA6cmTph2ehLfk1Lgbb4Tj9HAkJ7Jv15HiYX8Lizj1Y9wtCNJxkHavYl_4,facebook,415,0.0,0.0361,0.0,0.4819,0.0,,,Tema 5
pfbid0LgoXG18DgKfyGGDNB6iYJxJPdi7nVeEDhPqNsWstHj7GiHhWmmzxpyZj8xZg3LxJl,facebook,9507,0.0,0.3156,0.0007,0.0,0.0,,,Tema 9
pfbid035uaEhW77wd8ueAU5YPqyzgVeA2CK7urwj7amdXbiASyYYxBp51oqEuH62dMDQa8l_2,facebook,10200,0.0,0.1863,0.0,0.0,0.0,,,Tema 5
pfbid02hSWtVpZ6aLTMxaoUQFFndsosvjKLVGfEQFkn7sKSdPJfML1siEi1va2wPHpnd8qDl_3,facebook,13400,0.0,0.4104,0.0,0.0,0.0,,,Tema 9
