periodo_dt,periodo,plataforma,total_posts,engagement_total,engagement_promedio,controversia_total,viralidad_promedio,semana_label,media_movil,std_movil,es_anomalia,tipo_anomalia
2026-04-27 17:04:12.865,2026-W18,facebook,1,649,649.0,0,0.0,2026-04-27,,,False,
2026-04-27 17:04:12.867,2026-W18,facebook,1,25611,25611.0,0,0.0,2026-04-27,13130.0,17650.7994719786,False,
2026-05-04 17:01:54.755,2026-W19,facebook,1,5208,5208.0,0,0.0,2026-05-04,10489.333333333334,13292.656707119662,False,
2026-05-04 17:01:54.757,2026-W19,facebook,2,1680,840.0,0,0.0,2026-05-04,8077.0,11877.453009799701,False,
2026-05-04 17:01:54.758,2026-W19,facebook,1,181005,181005.0,0,0.0,2026-05-04,53166.0,85907.05827811822,False,
2026-05-04 17:02:04.936,2026-W19,facebook,1,1272,1272.0,0,0.0,2026-05-04,47081.25,89304.12544921986,False,
2026-05-04 17:02:04.942,2026-W19,facebook,1,356,356.0,0,0.0,2026-05-04,45868.25,90091.94361456523,False,
2026-05-04 17:02:04.943,2026-W19,facebook,1,51,51.0,0,0.0,2026-05-04,45671.0,90224.15859402624,False,
2026-05-04 17:02:14.295,2026-W19,facebook,2,61200,30600.0,0,0.0,2026-05-04,8069.75,15029.125731392334,False,
2026-05-04 17:02:14.296,2026-W19,facebook,1,1354,1354.0,0,0.0,2026-05-04,8090.25,15016.81360730917,False,
2026-05-04 17:02:22.794,2026-W19,facebook,1,1548,1548.0,0,0.0,2026-05-04,8388.25,14822.744558616638,False,
2026-05-04 17:02:22.795,2026-W19,facebook,1,359,359.0,0,0.0,2026-05-04,8465.25,14765.688501274359,False,
2026-05-04 17:02:22.820,2026-W19,facebook,1,295,295.0,0,0.0,2026-05-04,889.0,654.2787377454899,False,
2026-05-04 17:02:30.483,2026-W19,facebook,1,2711,2711.0,0,0.0,2026-05-04,1228.25,1144.1647244456685,False,
2026-05-04 17:02:30.484,2026-W19,facebook,1,664,664.0,0,0.0,2026-05-04,1007.25,1147.1868127434602,False,
2026-05-04 17:02:38.161,2026-W19,facebook,1,1471,1471.0,0,0.0,2026-05-04,1285.25,1069.8617901388789,False,
2026-05-04 17:02:38.163,2026-W19,facebook,1,2228,2228.0,0,0.0,2026-05-04,1768.5,895.893036769737,False,
2026-05-04 17:02:47.737,2026-W19,facebook,1,5500,5500.0,0,0.0,2026-05-04,2465.75,2121.2440335800998,False,
2026-05-04 17:02:47.739,2026-W19,facebook,1,5200,5200.0,0,0.0,2026-05-04,3599.75,2048.171928818276,False,
2026-05-04 17:02:47.740,2026-W19,facebook,1,52006,52006.0,0,0.0,2026-05-04,16233.5,23894.015505979718,False,
2026-05-04 17:02:47.741,2026-W19,facebook,1,4600,4600.0,0,0.0,2026-05-04,16826.5,23455.98450289391,False,
2026-05-04 17:02:57.972,2026-W19,facebook,1,2600,2600.0,0,0.0,2026-05-04,16101.5,23962.12864083655,False,
2026-05-04 17:02:57.974,2026-W19,facebook,1,2640,2640.0,0,0.0,2026-05-04,15461.5,24380.8784843095,False,
2026-05-04 17:03:08.457,2026-W19,facebook,2,2901,1450.5,0,0.0,2026-05-04,2822.625,1306.9943493243848,False,
2026-05-04 17:03:08.458,2026-W19,facebook,1,1701,1701.0,0,0.0,2026-05-04,2097.875,611.7279317631369,False,
2026-05-04 17:03:18.888,2026-W19,facebook,2,26860,13430.0,0,0.0,2026-05-04,4805.375,5772.501932654437,False,
2026-05-04 17:03:35.529,2026-W19,facebook,1,1373,1373.0,0,0.0,2026-05-04,4488.625,5962.559928070538,False,
2026-05-04 17:03:35.530,2026-W19,facebook,1,305,305.0,0,0.0,2026-05-04,4202.25,6180.637366000306,False,
2026-05-04 17:03:45.413,2026-W19,facebook,1,1489,1489.0,0,0.0,2026-05-04,4149.25,6210.074415818155,False,
2026-05-04 17:03:45.414,2026-W19,facebook,1,970,970.0,0,0.0,2026-05-04,1034.25,534.6284535380953,False,
2026-05-04 17:03:55.436,2026-W19,facebook,1,61,61.0,0,0.0,2026-05-04,706.25,647.9739578094185,False,
2026-05-04 17:03:55.483,2026-W19,facebook,1,179016,179016.0,0,0.0,2026-05-04,45384.0,89089.95486585454,False,
2026-05-04 17:04:04.153,2026-W19,facebook,1,1958,1958.0,0,0.0,2026-05-04,45501.25,89013.20432900202,False,
2026-05-04 17:04:04.154,2026-W19,facebook,1,2839,2839.0,0,0.0,2026-05-04,45968.5,88705.90678002601,False,
2026-05-04 17:04:12.863,2026-W19,facebook,1,399,399.0,0,0.0,2026-05-04,46053.0,88647.74091124187,False,
2026-05-11 16:59:51.426,2026-W20,facebook,1,634,634.0,0,0.0,2026-05-11,1457.5,1148.5667880734645,False,
2026-05-11 17:00:05.789,2026-W20,facebook,1,4600,4600.0,0,0.0,2026-05-11,2118.0,1986.4022754715945,False,
2026-05-11 17:00:14.518,2026-W20,facebook,1,1202,1202.0,0,0.0,2026-05-11,1708.75,1956.7536678553577,False,
2026-05-11 17:00:14.519,2026-W20,facebook,2,184237,92118.5,0,0.0,2026-05-11,24638.625,45020.652426367975,False,
2026-05-11 17:00:23.393,2026-W20,facebook,1,11500,11500.0,0,0.0,2026-05-11,27355.125,43387.63799051329,False,
2026-05-11 17:00:32.414,2026-W20,facebook,1,1258,1258.0,0,0.0,2026-05-11,26519.625,43999.74761172878,False,
2026-05-11 17:00:32.415,2026-W20,facebook,1,1819,1819.0,0,0.0,2026-05-11,26673.875,43882.331057756026,False,
2026-05-11 17:00:40.310,2026-W20,facebook,1,3300,3300.0,0,0.0,2026-05-11,4469.25,4765.659896593445,False,
2026-05-11 17:00:40.311,2026-W20,facebook,1,10202,10202.0,0,0.0,2026-05-11,4144.75,4129.015974377638,False,
2026-05-11 17:00:40.312,2026-W20,facebook,1,1354,1354.0,0,0.0,2026-05-11,4168.75,4106.863148032293,False,
2026-05-11 17:00:50.014,2026-W20,facebook,1,433,433.0,0,0.0,2026-05-11,3822.25,4417.888966086146,False,
2026-05-11 17:00:50.015,2026-W20,facebook,1,2631,2631.0,0,0.0,2026-05-11,3655.0,4456.742831560478,False,
2026-05-11 17:00:50.017,2026-W20,facebook,1,2535,2535.0,0,0.0,2026-05-11,1738.25,1046.1259882692805,False,
2026-05-11 17:01:11.484,2026-W20,facebook,2,2490,1245.0,0,0.0,2026-05-11,1711.0,1060.788386059654,False,
2026-05-11 17:01:37.242,2026-W20,facebook,1,75021,75021.0,0,0.0,2026-05-11,20358.0,36447.47908978067,False,
2026-05-11 17:01:45.739,2026-W20,facebook,1,661,661.0,0,0.0,2026-05-11,19865.5,36778.66796119728,False,
2026-05-11 17:01:45.740,2026-W20,facebook,1,2800,2800.0,0,0.0,2026-05-11,19931.75,36737.25971793939,False,
2026-05-11 17:01:54.754,2026-W20,facebook,1,413,413.0,0,0.0,2026-05-11,19723.75,36880.40434860586,False,
2026-05-11 17:01:54.756,2026-W20,facebook,1,4600,4600.0,0,0.0,2026-05-11,2118.5,1971.0674772820425,False,
2026-05-18 16:54:20.377,2026-W21,facebook,1,5728,5728.0,0,0.0,2026-05-18,3385.25,2319.5461301726677,False,
2026-05-18 16:54:27.275,2026-W21,facebook,1,765,765.0,0,0.0,2026-05-18,2876.5,2685.0679072726753,False,
2026-05-18 16:54:33.589,2026-W21,facebook,2,91150,45575.0,0,0.0,2026-05-18,14167.0,21046.14199008136,False,
2026-05-18 16:54:39.764,2026-W21,facebook,1,10100,10100.0,0,0.0,2026-05-18,15542.0,20381.94280893423,False,
2026-05-18 16:54:48.187,2026-W21,facebook,2,137000,68500.0,0,0.0,2026-05-18,31235.0,31461.219249524733,False,
2026-05-18 16:55:18.384,2026-W21,facebook,1,377,377.0,0,0.0,2026-05-18,31138.0,31586.825196591046,False,
2026-05-18 16:55:18.385,2026-W21,facebook,1,79250,79250.0,0,0.0,2026-05-18,39556.75,40066.68918503248,False,
2026-05-18 16:55:24.174,2026-W21,facebook,2,651,325.5,0,0.0,2026-05-18,37113.125,42675.224624237955,False,
2026-05-18 16:55:24.175,2026-W21,facebook,1,10200,10200.0,0,0.0,2026-05-18,22538.125,38091.91631298998,False,
2026-05-18 16:55:30.998,2026-W21,facebook,1,19633,19633.0,0,0.0,2026-05-18,27352.125,35485.24656430001,False,
2026-05-18 16:55:30.999,2026-W21,facebook,1,2824,2824.0,0,0.0,2026-05-18,8245.625,8672.067971126167,False,
2026-05-18 16:55:31.000,2026-W21,facebook,1,953,953.0,0,0.0,2026-05-18,8402.5,8484.68913199922,False,
2026-05-18 16:55:38.284,2026-W21,facebook,1,5000,5000.0,0,0.0,2026-05-18,7102.5,8515.78630153037,False,
2026-05-18 16:55:38.285,2026-W21,facebook,1,59016,59016.0,0,0.0,2026-05-18,16948.25,28093.882660050134,False,
2026-05-18 16:55:44.591,2026-W21,facebook,1,181016,181016.0,0,0.0,2026-05-18,61496.25,83961.16893094093,False,
2026-05-18 16:55:44.592,2026-W21,facebook,1,21300,21300.0,0,0.0,2026-05-18,66583.0,79572.1621255407,False,
2026-05-18 16:55:44.593,2026-W21,facebook,1,344,344.0,0,0.0,2026-05-18,65419.0,80797.9096346764,False,
2026-05-18 16:55:52.308,2026-W21,facebook,1,801,801.0,0,0.0,2026-05-18,50865.25,87315.80147707133,False,
2026-05-18 16:55:52.309,2026-W21,facebook,1,392,392.0,0,0.0,2026-05-18,5709.25,10395.855885078978,False,
2026-05-18 16:55:52.310,2026-W21,facebook,2,2292,1146.0,0,0.0,2026-05-18,670.75,377.4010907922695,False,
2026-05-18 16:55:58.614,2026-W21,facebook,2,801,400.5,0,0.0,2026-05-18,684.875,361.8315388379813,False,
2026-05-18 16:56:05.155,2026-W21,facebook,1,62,62.0,0,0.0,2026-05-18,500.125,458.5208782936652,False,
2026-05-18 16:56:05.156,2026-W21,facebook,1,5176,5176.0,0,0.0,2026-05-18,1696.125,2363.695989158617,False,
2026-05-18 16:56:05.157,2026-W21,facebook,1,347006,347006.0,0,0.0,2026-05-18,88161.125,172579.04798592778,False,
2026-05-18 16:56:05.158,2026-W21,facebook,1,1372,1372.0,0,0.0,2026-05-18,88404.0,172414.9765111295,False,
2026-05-18 16:57:21.237,2026-W21,facebook,1,1413,1413.0,0,0.0,2026-05-18,88741.75,172185.40510425577,False,
2026-05-18 16:57:31.234,2026-W21,facebook,1,383,383.0,0,0.0,2026-05-18,87543.5,172975.65542487957,False,
2026-05-18 16:57:31.235,2026-W21,facebook,1,2601,2601.0,0,0.0,2026-05-18,1442.25,907.4695128028636,False,
2026-05-18 16:57:41.093,2026-W21,facebook,1,3205,3205.0,0,0.0,2026-05-18,1900.5,1256.0364909773389,False,
2026-05-18 16:57:52.220,2026-W21,facebook,2,15424,7712.0,0,0.0,2026-05-18,3475.25,3074.053174014182,False,
2026-05-18 16:57:57.613,2026-W21,facebook,1,2942,2942.0,0,0.0,2026-05-18,4115.0,2410.714555202807,False,
2026-05-18 16:58:04.374,2026-W21,facebook,1,10,10.0,0,0.0,2026-05-18,3467.25,3178.8437494367877,False,
2026-05-18 16:58:04.375,2026-W21,facebook,1,10212,10212.0,0,0.0,2026-05-18,5219.0,4599.40242495334,False,
2026-05-18 16:58:17.878,2026-W21,facebook,2,13769,6884.5,0,0.0,2026-05-18,5012.125,4466.58557839953,False,
2026-05-18 16:58:17.879,2026-W21,facebook,1,291022,291022.0,0,0.0,2026-05-18,77032.125,142723.15011960216,False,
2026-05-18 16:58:34.394,2026-W21,facebook,1,46,46.0,0,0.0,2026-05-18,77041.125,142716.67517519632,False,
2026-05-18 16:58:44.081,2026-W21,facebook,1,83,83.0,0,0.0,2026-05-18,74508.875,144377.88382596034,False,
2026-05-18 16:58:53.432,2026-W21,facebook,2,3391,1695.5,0,0.0,2026-05-18,73211.625,145208.95297086827,False,
2026-05-18 16:59:02.864,2026-W21,facebook,1,1452,1452.0,0,0.0,2026-05-18,819.125,877.1480657026025,False,
2026-05-18 16:59:11.605,2026-W21,facebook,1,1114,1114.0,0,0.0,2026-05-18,1086.125,709.9857246211465,False,
2026-05-18 16:59:23.495,2026-W21,facebook,1,721,721.0,0,0.0,2026-05-18,1245.625,423.2944946084379,False,
2026-05-18 17:00:41.478,2026-W21,facebook,1,2428,2428.0,0,0.0,2026-05-18,1428.75,730.0727703449461,False,
2026-05-18 17:00:50.335,2026-W21,facebook,1,533,533.0,0,0.0,2026-05-18,1199.0,854.3430224442326,False,
2026-05-18 17:00:59.188,2026-W21,facebook,2,7405,3702.5,0,0.0,2026-05-18,1846.125,1502.7652497421125,False,
2026-05-18 17:01:23.000,2026-W21,facebook,1,2631,2631.0,0,0.0,2026-05-18,2323.625,1318.2068233649081,False,
2026-05-18 17:01:23.001,2026-W21,facebook,1,593,593.0,0,0.0,2026-05-18,1864.875,1565.819294330971,False,
2026-05-18 17:01:30.863,2026-W21,facebook,2,183028,91514.0,0,0.0,2026-05-18,24610.125,44621.22627250958,False,
2026-05-18 17:01:38.888,2026-W21,facebook,1,1814,1814.0,0,0.0,2026-05-18,24138.0,44925.13930974504,False,
2026-05-18 17:01:55.114,2026-W21,facebook,1,65000,65000.0,0,0.0,2026-05-18,39730.25,45787.492399671755,False,
2026-05-18 17:02:03.280,2026-W21,facebook,1,1624,1624.0,0,0.0,2026-05-18,39988.0,45495.71258920997,False,
2026-05-18 17:02:13.268,2026-W21,facebook,1,350,350.0,0,0.0,2026-05-18,17197.0,31875.29469667691,False,
