periodo_dt,periodo,plataforma,total_posts,engagement_total,engagement_promedio,controversia_total,viralidad_promedio,semana_label
2026-04-27 17:04:12.865,2026-W18,facebook,1,649,649.0,0,0.0,2026-04-27
2026-04-27 17:04:12.867,2026-W18,facebook,1,25611,25611.0,0,0.0,2026-04-27
2026-05-04 17:01:54.755,2026-W19,facebook,1,5208,5208.0,0,0.0,2026-05-04
2026-05-04 17:01:54.757,2026-W19,facebook,2,1680,840.0,0,0.0,2026-05-04
2026-05-04 17:01:54.758,2026-W19,facebook,1,181005,181005.0,0,0.0,2026-05-04
2026-05-04 17:02:04.936,2026-W19,facebook,1,1272,1272.0,0,0.0,2026-05-04
2026-05-04 17:02:04.942,2026-W19,facebook,1,356,356.0,0,0.0,2026-05-04
2026-05-04 17:02:04.943,2026-W19,facebook,1,51,51.0,0,0.0,2026-05-04
2026-05-04 17:02:14.295,2026-W19,facebook,2,61200,30600.0,0,0.0,2026-05-04
2026-05-04 17:02:14.296,2026-W19,facebook,1,1354,1354.0,0,0.0,2026-05-04
2026-05-04 17:02:22.794,2026-W19,facebook,1,1548,1548.0,0,0.0,2026-05-04
2026-05-04 17:02:22.795,2026-W19,facebook,1,359,359.0,0,0.0,2026-05-04
2026-05-04 17:02:22.820,2026-W19,facebook,1,295,295.0,0,0.0,2026-05-04
2026-05-04 17:02:30.483,2026-W19,facebook,1,2711,2711.0,0,0.0,2026-05-04
2026-05-04 17:02:30.484,2026-W19,facebook,1,664,664.0,0,0.0,2026-05-04
2026-05-04 17:02:38.161,2026-W19,facebook,1,1471,1471.0,0,0.0,2026-05-04
2026-05-04 17:02:38.163,2026-W19,facebook,1,2228,2228.0,0,0.0,2026-05-04
2026-05-04 17:02:47.737,2026-W19,facebook,1,5500,5500.0,0,0.0,2026-05-04
2026-05-04 17:02:47.739,2026-W19,facebook,1,5200,5200.0,0,0.0,2026-05-04
2026-05-04 17:02:47.740,2026-W19,facebook,1,52006,52006.0,0,0.0,2026-05-04
2026-05-04 17:02:47.741,2026-W19,facebook,1,4600,4600.0,0,0.0,2026-05-04
2026-05-04 17:02:57.972,2026-W19,facebook,1,2600,2600.0,0,0.0,2026-05-04
2026-05-04 17:02:57.974,2026-W19,facebook,1,2640,2640.0,0,0.0,2026-05-04
2026-05-04 17:03:08.457,2026-W19,facebook,2,2901,1450.5,0,0.0,2026-05-04
2026-05-04 17:03:08.458,2026-W19,facebook,1,1701,1701.0,0,0.0,2026-05-04
2026-05-04 17:03:18.888,2026-W19,facebook,2,26860,13430.0,0,0.0,2026-05-04
2026-05-04 17:03:35.529,2026-W19,facebook,1,1373,1373.0,0,0.0,2026-05-04
2026-05-04 17:03:35.530,2026-W19,facebook,1,305,305.0,0,0.0,2026-05-04
